br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,30,0.905967,0.0,5.0,2.2071,3.8627,3.6364,288.0,112.0,106.0,6.5,4.5,4.0,252,25,0.029188,2026-01-03T21:01:50.754715Z,20260103_210150.754715_seed0_six_way
BR0,six_way,31,0.772973,0.0,9.1667,0.1698,9.8712,14.0909,294.0,105.0,94.5,0.5,11.5,15.5,108,31,0.003171,2026-01-03T21:01:55.243572Z,20260103_210155.243572_seed0_six_way
BR0,six_way,32,0.946975,0.0,4.0,3.2258,2.1459,0.0,285.0,114.0,110.0,9.5,2.5,0.0,90,4,0.002763,2026-01-03T21:01:58.671789Z,20260103_210158.671789_seed0_six_way
BR0,six_way,33,0.955512,0.0,2.9507,1.8217,1.2768,1.8182,289.1352,115.0126,108.0,5.3648,1.4874,2.0,954,41,0.684309,2026-01-03T21:12:28.017776Z,20260103_211228.017776_seed0_six_way
BR0,six_way,34,0.964151,0.0,1.7726,0.4565,1.2847,2.2517,293.1556,115.0033,107.5232,1.3444,1.4967,2.4768,453,15,0.122166,2026-01-03T21:14:24.431397Z,20260103_211424.431397_seed0_six_way
BR0,six_way,35,0.901288,0.0,3.6667,0.0,0.8584,9.0909,294.5,115.5,100.0,0.0,1.0,10.0,266,28,0.044427,2026-01-03T21:15:01.936186Z,20260103_211501.936186_seed0_six_way
BR0,six_way,36,0.915692,0.0,4.4862,1.3965,2.3266,6.0321,290.3872,113.7895,103.3647,4.1128,2.7105,6.6353,665,58,0.288744,2026-01-03T21:19:07.462610Z,20260103_211907.462610_seed0_six_way
BR0,six_way,37,0.938318,0.0,2.5,0.1698,6.0086,0.0,294.0,109.5,110.0,0.5,7.0,0.0,90,5,0.002583,2026-01-03T21:19:11.520351Z,20260103_211911.520351_seed0_six_way
BR0,six_way,38,0.777103,0.0,11.6667,4.2445,14.1631,5.4545,282.0,100.0,104.0,12.5,16.5,6.0,48,13,0.001238,2026-01-03T21:19:13.330856Z,20260103_211913.330856_seed0_six_way
BR0,six_way,39,0.891411,0.0,7.2667,3.7097,5.3004,4.2727,283.575,110.325,105.3,10.925,6.175,4.7,120,14,0.006701,2026-01-03T21:19:19.657595Z,20260103_211919.657595_seed0_six_way
BR0,six_way,40,0.833296,0.0,6.6935,0.5532,1.0245,15.6891,292.871,115.3065,92.7419,1.629,1.1935,17.2581,62,12,0.00188,2026-01-03T21:19:23.740058Z,20260103_211923.740058_seed0_six_way
BR0,six_way,41,0.824861,0.0,10.0,4.9236,12.4464,0.9091,280.0,102.0,109.0,14.5,14.5,1.0,42,8,0.000834,2026-01-03T21:19:25.212543Z,20260103_211925.212543_seed0_six_way
BR0,six_way,42,0.838231,0.0,8.7111,3.09,4.5494,10.6667,285.4,111.2,98.2667,9.1,5.3,11.7333,90,17,0.003549,2026-01-03T21:19:29.920365Z,20260103_211929.920365_seed0_six_way
BR0,six_way,43,0.863886,0.0,8.4167,2.5467,6.5451,9.2045,287.0,108.875,99.875,7.5,7.625,10.125,56,8,0.000812,2026-01-03T21:19:31.413470Z,20260103_211931.413470_seed0_six_way
BR0,six_way,44,0.885429,0.0,4.6143,0.4705,2.1459,9.0519,293.1143,114.0,100.0429,1.3857,2.5,9.9571,140,17,0.007978,2026-01-03T21:19:44.334102Z,20260103_211944.334102_seed0_six_way
BR0,six_way,45,0.932121,0.0,2.93,0.2242,6.0807,0.9507,293.8397,109.416,108.9542,0.6603,7.084,1.0458,262,18,0.234108,2026-01-03T21:21:46.982292Z,20260103_212146.982292_seed0_six_way
BR0,six_way,46,0.939706,0.0,3.7637,2.0481,2.5588,2.0713,288.4684,113.519,107.7215,6.0316,2.981,2.2785,158,9,0.026702,2026-01-03T21:22:11.881208Z,20260103_212211.881208_seed0_six_way
BR0,six_way,47,0.886403,0.0,9.28,4.8964,7.0901,4.6909,280.08,108.24,104.84,14.42,8.26,5.16,100,12,0.002377,2026-01-03T21:22:16.141030Z,20260103_212216.141030_seed0_six_way
BR0,six_way,48,0.841098,0.0,6.623,0.6179,3.3702,12.839,292.6803,112.5738,95.877,1.8197,3.9262,14.123,183,33,0.006194,2026-01-03T21:22:22.878690Z,20260103_212222.878690_seed0_six_way
BR0,six_way,49,0.922836,0.0,3.9127,1.2855,4.8777,2.0635,290.7143,110.8175,107.7302,3.7857,5.6825,2.2698,126,10,0.020911,2026-01-03T21:22:38.560219Z,20260103_212238.560219_seed0_six_way
BR0,six_way,50,0.930997,0.0,4.235,2.196,1.175,4.4262,288.0328,115.1311,105.1311,6.4672,1.3689,4.8689,366,25,0.022143,2026-01-03T21:23:15.454409Z,20260103_212315.454409_seed0_six_way
BR0,six_way,51,0.846139,0.0,7.9881,2.8256,3.6174,10.3896,286.1786,112.2857,98.5714,8.3214,4.2143,11.4286,168,29,0.01675,2026-01-03T21:23:31.292137Z,20260103_212331.292137_seed0_six_way
BR0,six_way,52,0.9297,0.0,2.8918,0.1568,5.1764,1.9847,294.9618,110.4695,107.8168,0.4618,6.0305,2.1832,131,9,0.013021,2026-01-03T21:23:44.627763Z,20260103_212344.627763_seed0_six_way
BR0,six_way,53,0.944599,0.0,4.0164,2.4604,1.7613,2.5012,287.2541,114.4481,107.2486,7.2459,2.0519,2.7514,366,20,0.023814,2026-01-03T21:24:21.880676Z,20260103_212421.880676_seed0_six_way
BR0,six_way,54,0.90259,0.0,4.7841,1.3119,2.2386,7.1643,290.6364,113.892,102.1193,3.8636,2.608,7.8807,176,18,0.012413,2026-01-03T21:24:35.354035Z,20260103_212435.354035_seed0_six_way
BR0,six_way,55,0.90662,0.0,6.0705,2.2986,5.0017,5.1049,287.7308,110.6731,104.3846,6.7692,5.8269,5.6154,104,10,0.009167,2026-01-03T21:24:44.351298Z,20260103_212444.351298_seed0_six_way
BR0,six_way,56,0.85601,0.0,7.6133,2.7379,6.1711,6.8976,286.4369,109.3107,102.4126,8.0631,7.1893,7.5874,206,33,0.020886,2026-01-03T21:25:06.061133Z,20260103_212506.061133_seed0_six_way
BR0,six_way,57,0.822068,0.0,7.72,1.382,12.9528,3.6364,290.43,101.41,106.0,4.07,15.09,4.0,100,21,0.006258,2026-01-03T21:25:10.792061Z,20260103_212510.792061_seed0_six_way
BR0,six_way,58,0.907061,0.0,5.8333,3.7351,1.2876,4.5455,283.5,115.0,105.0,11.0,1.5,5.0,70,6,0.003431,2026-01-03T21:25:14.521076Z,20260103_212514.521076_seed0_six_way
BR0,six_way,59,0.915218,0.0,4.6579,1.8497,1.3553,6.3158,289.0526,114.9211,103.0526,5.4474,1.5789,6.9474,152,13,0.018995,2026-01-03T21:25:26.326835Z,20260103_212526.326835_seed0_six_way
BR0,six_way,60,0.917023,0.0,6.0824,3.4655,2.1257,5.0588,284.2941,114.0235,104.4353,10.2059,2.4765,5.5647,85,7,0.001964,2026-01-03T21:25:29.320510Z,20260103_212529.320510_seed0_six_way
BR0,six_way,61,0.848428,0.0,7.3333,2.2071,6.4378,7.2727,288.0,109.0,102.0,6.5,7.5,8.0,54,9,0.001973,2026-01-03T21:25:31.603697Z,20260103_212531.603697_seed0_six_way
BR0,six_way,62,0.788748,0.0,10.8333,3.7351,14.1631,4.5455,283.5,100.0,105.0,11.0,16.5,5.0,108,28,0.004935,2026-01-03T21:25:37.029503Z,20260103_212537.029503_seed0_six_way
BR0,six_way,63,0.767231,0.0,10.5,2.5467,2.1459,19.5455,287.0,114.0,88.5,7.5,2.5,21.5,63,18,0.001569,2026-01-03T21:25:42.089688Z,20260103_212542.089688_seed0_six_way
BR0,six_way,64,0.96238,0.0,2.4915,1.6431,2.1459,0.1233,289.661,114.0,109.8644,4.839,2.5,0.1356,236,8,0.020479,2026-01-03T21:26:09.769436Z,20260103_212609.769436_seed0_six_way
BR0,six_way,65,0.928321,0.0,4.1548,2.2331,4.2656,0.8349,287.9235,111.5306,109.0816,6.5765,4.9694,0.9184,392,28,0.169017,2026-01-03T21:28:34.255771Z,20260103_212834.255771_seed0_six_way
BR0,six_way,66,0.887977,0.0,5.095,1.3789,3.4255,6.576,290.4393,112.5093,102.7664,4.0607,3.9907,7.2336,214,26,0.049709,2026-01-03T21:29:20.266232Z,20260103_212920.266232_seed0_six_way
BR0,six_way,67,0.83514,0.0,12.4657,8.0395,3.2378,9.0441,270.8235,112.7279,100.0515,23.6765,3.7721,9.9485,136,26,0.005994,2026-01-03T21:29:26.518969Z,20260103_212926.518969_seed0_six_way
BR0,six_way,68,0.934908,0.0,3.963,2.1317,4.3309,0.5142,288.2222,111.4545,109.4343,6.2778,5.0455,0.5657,297,19,0.062508,2026-01-03T21:30:24.990272Z,20260103_213024.990272_seed0_six_way
BR0,six_way,69,0.90662,0.0,5.0496,1.4522,5.0772,4.5068,290.2234,110.5851,105.0426,4.2766,5.9149,4.9574,188,18,0.009529,2026-01-03T21:30:34.796312Z,20260103_213034.796312_seed0_six_way
BR0,six_way,70,0.953925,0.0,2.338,0.7495,3.6234,0.5322,292.2927,112.2787,109.4146,2.2073,4.2213,0.5854,574,25,0.117884,2026-01-03T21:34:20.505125Z,20260103_213420.505125_seed0_six_way
BR0,six_way,71,0.702598,0.0,13.6667,2.2071,20.1717,10.0,288.0,93.0,99.0,6.5,23.5,11.0,54,22,0.004,2026-01-03T21:34:22.949300Z,20260103_213422.949300_seed0_six_way
BR0,six_way,72,0.739456,0.0,12.0,2.2071,18.4549,7.2727,288.0,95.0,102.0,6.5,21.5,8.0,36,12,0.000745,2026-01-03T21:34:24.415713Z,20260103_213424.415713_seed0_six_way
BR0,six_way,73,0.917863,0.0,5.4737,3.1633,5.6698,0.4545,285.1842,109.8947,109.5,9.3158,6.6053,0.5,114,9,0.007849,2026-01-03T21:34:33.428493Z,20260103_213433.428493_seed0_six_way
BR0,six_way,74,0.807391,0.0,12.9359,4.7538,9.244,12.7622,280.5,105.7308,95.9615,14.0,10.7692,14.0385,52,12,0.000896,2026-01-03T21:34:35.022557Z,20260103_213435.022557_seed0_six_way
BR0,six_way,75,0.858416,0.0,6.9091,0.9724,7.088,8.7328,291.6364,108.2424,100.3939,2.8636,8.2576,9.6061,132,21,0.004531,2026-01-03T21:34:44.379137Z,20260103_213444.379137_seed0_six_way
BR0,six_way,76,0.944745,0.0,2.1667,0.1698,0.8584,4.5455,294.0,115.5,105.0,0.5,1.0,5.0,294,16,0.056553,2026-01-03T21:35:31.814394Z,20260103_213531.814394_seed0_six_way
BR0,six_way,77,0.914991,0.0,3.8333,0.8489,7.2961,0.4545,292.0,108.0,109.5,2.5,8.5,0.5,144,12,0.017797,2026-01-03T21:35:47.857732Z,20260103_213547.857732_seed0_six_way
BR0,six_way,78,0.854185,0.0,6.2558,0.6989,9.8712,4.7357,292.4419,105.0,104.7907,2.0581,11.5,5.2093,86,14,0.006736,2026-01-03T21:35:52.200340Z,20260103_213552.200340_seed0_six_way
BR0,six_way,79,0.842476,0.0,7.3333,2.2071,1.2876,12.7273,288.0,115.0,96.0,6.5,1.5,14.0,180,32,0.016282,2026-01-03T21:36:06.889534Z,20260103_213606.889534_seed0_six_way
BR0,six_way,80,0.880705,0.0,6.2819,2.5816,5.5513,4.3415,286.8972,110.0327,105.2243,7.6028,6.4673,4.7757,107,14,0.01552,2026-01-03T21:36:17.694053Z,20260103_213617.694053_seed0_six_way
BR0,six_way,81,0.865656,0.0,10.3333,8.3192,5.5794,0.0,270.0,110.0,110.0,24.5,6.5,0.0,72,10,0.002805,2026-01-03T21:36:21.091949Z,20260103_213621.091949_seed0_six_way
BR0,six_way,82,0.790537,0.0,8.8333,0.6791,12.4464,9.0909,292.5,102.0,100.0,2.0,14.5,10.0,144,37,0.006373,2026-01-03T21:36:28.860501Z,20260103_213628.860501_seed0_six_way
BR0,six_way,83,0.942735,0.0,3.0,1.3582,1.2876,3.1818,290.5,115.0,106.5,4.0,1.5,3.5,105,5,0.00257,2026-01-03T21:36:32.816861Z,20260103_213632.816861_seed0_six_way
BR0,six_way,84,0.915824,0.0,5.1667,3.2258,0.8584,4.5455,285.0,115.5,105.0,9.5,1.0,5.0,75,6,0.002966,2026-01-03T21:36:36.702366Z,20260103_213636.702366_seed0_six_way
BR0,six_way,85,0.949015,0.0,2.2396,0.3926,4.7747,0.0,293.3438,110.9375,110.0,1.1562,5.5625,0.0,640,32,0.09076,2026-01-03T21:38:59.567248Z,20260103_213859.567248_seed0_six_way
BR0,six_way,86,0.899941,0.0,4.6657,0.9232,1.2241,8.9564,291.7811,115.074,100.1479,2.7189,1.426,9.8521,338,36,0.066509,2026-01-03T21:40:03.599271Z,20260103_214003.599271_seed0_six_way
BR0,six_way,87,0.878023,0.0,8.4273,3.9136,2.3605,10.0058,282.9744,113.75,98.9936,11.5256,2.75,11.0064,234,31,0.010163,2026-01-03T21:40:16.984197Z,20260103_214016.984197_seed0_six_way
BR0,six_way,88,0.802858,0.0,11.1584,4.7555,15.4379,1.3501,280.495,98.5149,108.5149,14.005,17.9851,1.4851,101,24,0.003637,2026-01-03T21:40:20.937815Z,20260103_214020.937815_seed0_six_way
BR0,six_way,89,0.798963,0.0,9.6667,3.2258,1.2876,16.3636,285.0,115.0,92.0,9.5,1.5,18.0,60,14,0.001009,2026-01-03T21:40:23.315518Z,20260103_214023.315518_seed0_six_way
BR0,six_way,90,0.910285,0.0,5.4848,2.8322,1.8143,5.4545,286.1591,114.3864,104.0,8.3409,2.1136,6.0,176,16,0.040901,2026-01-03T21:40:45.944971Z,20260103_214045.944971_seed0_six_way
BR0,six_way,91,0.844273,0.0,7.8583,2.5297,2.0923,12.4432,287.05,114.0625,96.3125,7.45,2.4375,13.6875,80,14,0.002197,2026-01-03T21:40:49.148694Z,20260103_214049.148694_seed0_six_way
BR0,six_way,92,0.788448,0.0,10.4167,2.2071,5.2575,16.9318,288.0,110.375,91.375,6.5,6.125,18.625,48,12,0.000821,2026-01-03T21:40:50.712126Z,20260103_214050.712126_seed0_six_way
BR0,six_way,93,0.883805,0.0,5.5895,1.3912,4.9709,6.2551,290.403,110.709,103.1194,4.097,5.791,6.8806,134,17,0.009974,2026-01-03T21:41:00.432623Z,20260103_214100.432623_seed0_six_way
BR0,six_way,94,0.90089,0.0,4.3333,0.8489,3.4335,5.9091,292.0,112.5,103.5,2.5,4.0,6.5,72,7,0.003877,2026-01-03T21:41:04.712128Z,20260103_214104.712128_seed0_six_way
BR0,six_way,95,0.941752,0.0,4.2206,2.7964,3.3136,0.5147,286.2647,112.6397,109.4338,8.2353,3.8603,0.5662,204,11,0.007992,2026-01-03T21:41:19.203463Z,20260103_214119.203463_seed0_six_way
BR0,six_way,96,0.8773,0.0,5.3043,0.5873,10.7726,1.4848,292.7704,103.9499,108.3668,1.7296,12.5501,1.6332,379,51,0.219258,2026-01-03T21:44:08.026302Z,20260103_214408.026302_seed0_six_way
BR0,six_way,97,0.870584,0.0,6.4252,1.7758,6.2011,6.2015,289.2703,109.2757,103.1784,5.2297,7.2243,6.8216,185,26,0.022178,2026-01-03T21:44:25.713116Z,20260103_214425.713116_seed0_six_way
BR0,six_way,98,0.939222,0.0,2.625,0.382,2.5751,3.4091,293.375,113.5,106.25,1.125,3.0,3.75,128,7,0.010047,2026-01-03T21:44:40.444238Z,20260103_214440.444238_seed0_six_way
BR0,six_way,99,0.940198,0.0,5.1667,4.7538,1.2876,0.0,280.5,115.0,110.0,14.0,1.5,0.0,275,16,0.04827,2026-01-03T21:45:19.385801Z,20260103_214519.385801_seed0_six_way
BR0,six_way,100,0.737762,0.0,11.9731,1.7799,18.538,8.2551,289.2581,94.9032,100.9194,5.2419,21.5968,9.0806,124,43,0.004075,2026-01-03T21:45:24.443330Z,20260103_214524.443330_seed0_six_way
BR1,six_way,1,0.808429,0.0,5.2468,0.9634,1.6069,10.028,291.6626,118.3721,98.9692,2.8374,1.8721,11.0308,99,13,0.052411,2026-01-03T16:23:01.740990Z,20260103_162301.740990_seed0_six_way
BR1,six_way,2,0.914696,0.0,4.7038,2.0382,0.3727,6.9769,288.4974,116.0658,102.3254,6.0026,0.4342,7.6746,127,11,0.009929,2026-01-03T16:23:38.047045Z,20260103_162338.047045_seed0_six_way
