br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,28,0.837924,0.0,10.093985,5.7942,3.4787,8.3322,277.4361,112.4474,100.8346,17.0639,4.0526,9.1654,133,25,0.377873,2025-12-26T14:13:40.399159Z,20251226_141340.399159_seed0_six_way
BR0,six_way,29,0.717435,0.0,15.49537,7.3807,0.4351,22.0391,272.7639,115.9931,85.7569,21.7361,0.5069,24.2431,72,28,0.08015,2025-12-26T14:13:40.491162Z,20251226_141340.491162_seed0_six_way
BR0,six_way,30,0.765758,0.0,11.305947,3.4928,8.0014,13.009,284.2136,107.1784,95.6901,10.2864,9.3216,14.3099,213,64,0.701013,2025-12-26T14:13:41.205578Z,20251226_141341.205578_seed0_six_way
BR0,six_way,31,0.687087,0.0,16.166667,4.9236,18.8841,10.9091,280.0,94.5,98.0,14.5,22.0,12.0,96,43,0.11704,2025-12-26T14:13:41.337051Z,20251226_141341.337051_seed0_six_way
BR0,six_way,32,0.820712,0.0,10.65812,8.8089,2.0579,3.3042,268.5577,114.1026,106.3654,25.9423,2.3974,3.6346,78,16,0.064479,2025-12-26T14:13:41.413752Z,20251226_141341.413752_seed0_six_way
BR0,six_way,33,0.809281,0.0,4.753713,1.6371,3.0112,5.3927,289.6788,112.992,104.0681,4.8212,3.508,5.9319,808,187,18.232911,2025-12-26T14:13:59.659276Z,20251226_141359.659276_seed0_six_way
BR0,six_way,34,0.82155,0.0,9.283247,4.4591,9.3909,3.4338,281.3679,105.5596,106.2228,13.1321,10.9404,3.7772,386,82,3.006712,2025-12-26T14:14:02.683517Z,20251226_141402.683517_seed0_six_way
BR0,six_way,35,0.911452,0.0,6.98513,5.5144,1.254,2.9588,278.2602,115.039,106.7454,16.2398,1.461,3.2546,269,25,1.363088,2025-12-26T14:14:04.061454Z,20251226_141404.061454_seed0_six_way
BR0,six_way,36,0.837204,0.0,7.435855,3.3738,4.3843,6.6036,284.5641,111.3923,102.736,9.9359,5.1077,7.264,608,115,9.415616,2025-12-26T14:14:13.501644Z,20251226_141413.501644_seed0_six_way
BR0,six_way,37,0.865338,0.0,7.006024,4.2036,4.3436,3.253,282.1205,111.4398,106.4217,12.3795,5.0602,3.5783,83,12,0.065115,2025-12-26T14:14:13.582355Z,20251226_141413.582355_seed0_six_way
BR0,six_way,38,0.712344,0.0,13.651515,2.9171,19.1182,9.1736,285.9091,94.2273,99.9091,8.5909,22.2727,10.0909,44,17,0.015862,2025-12-26T14:14:13.610102Z,20251226_141413.610102_seed0_six_way
BR0,six_way,39,0.757699,0.0,9.035948,0.2563,5.369,18.2709,293.7451,110.2451,89.902,0.7549,6.2549,20.098,102,32,0.121316,2025-12-26T14:14:13.743600Z,20251226_141413.743600_seed0_six_way
BR0,six_way,40,0.806415,0.0,7.405556,0.863,1.9385,15.8333,291.9583,114.2417,92.5833,2.5417,2.2583,17.4167,60,14,0.046777,2025-12-26T14:14:13.820896Z,20251226_141413.820896_seed0_six_way
BR0,six_way,41,0.765942,0.0,16.15812,9.7471,5.4914,12.1562,265.7949,110.1026,96.6282,28.7051,6.3974,13.3718,39,11,0.023318,2025-12-26T14:14:13.878175Z,20251226_141413.878175_seed0_six_way
BR0,six_way,42,0.81029,0.0,8.417625,2.1759,5.4215,11.3898,288.092,110.1839,97.4713,6.408,6.3161,12.5287,87,20,0.088697,2025-12-26T14:14:13.987754Z,20251226_141413.987754_seed0_six_way
BR0,six_way,43,0.833033,0.0,10.944444,5.2097,4.57,11.0606,279.1574,111.1759,97.8333,15.3426,5.3241,12.1667,54,10,0.041385,2025-12-26T14:14:14.047905Z,20251226_141414.047905_seed0_six_way
BR0,six_way,44,0.809535,0.0,10.177083,6.2725,0.4359,10.5007,276.0273,117.0078,98.4492,18.4727,0.5078,11.5508,128,29,0.177516,2025-12-26T14:14:14.244094Z,20251226_141414.244094_seed0_six_way
BR0,six_way,45,0.807601,0.0,7.73348,6.0836,1.1949,3.5382,276.5837,115.1079,106.1079,17.9163,1.3921,3.8921,227,53,0.820849,2025-12-26T14:14:15.076107Z,20251226_141415.076107_seed0_six_way
BR0,six_way,46,0.838599,0.0,9.345154,6.9585,1.7685,4.9839,274.0071,114.4397,104.5177,20.4929,2.0603,5.4823,141,26,0.258412,2025-12-26T14:14:15.368125Z,20251226_141415.368125_seed0_six_way
BR0,six_way,47,0.815491,0.0,11.050725,5.5437,7.7813,7.0553,278.1739,107.4348,102.2391,16.3261,9.0652,7.7609,92,20,0.094556,2025-12-26T14:14:15.495339Z,20251226_141415.495339_seed0_six_way
BR0,six_way,48,0.73079,0.0,10.955975,0.5958,14.6463,12.773,292.7453,99.4371,95.9497,1.7547,17.0629,14.0503,159,57,0.387225,2025-12-26T14:14:15.893778Z,20251226_141415.893778_seed0_six_way
BR0,six_way,49,0.703113,0.0,16.666667,7.3005,7.2961,18.1818,273.0,108.0,90.0,21.5,8.5,20.0,96,40,0.109279,2025-12-26T14:14:16.045673Z,20251226_141416.045673_seed0_six_way
BR0,six_way,50,0.826705,0.0,6.96,2.1403,1.2506,11.9273,288.1969,117.9569,96.88,6.3031,1.4569,13.12,325,66,2.219243,2025-12-26T14:14:18.293328Z,20251226_141418.293328_seed0_six_way
