br_class,mode,n,mean_Z1,median_Z1,std_Z1,min_Z1,max_Z1,mean_Z2,median_Z2,std_Z2,min_Z2,max_Z2,mean_Z3,median_Z3,std_Z3,min_Z3,max_Z3,mean_RDx,median_RDx,std_RDx,min_RDx,max_RDx,mean_RDy,median_RDy,std_RDy,min_RDy,max_RDy,mean_RDz,median_RDz,std_RDz,min_RDz,max_RDz,mean_unplaced,median_unplaced,std_unplaced,min_unplaced,max_unplaced,mean_time_sec,median_time_sec,std_time_sec,min_time_sec,max_time_sec
BR8,C1_respect,100,0.802437,0.804266,0.025404,0.723025,0.860208,0.0,0.0,0.0,0.0,0.0,6.456581,6.566486,1.507869,3.387911,10.415081,2.7552,2.8712,1.2867,0.0431,5.7884,3.1131,3.1858,1.6862,0.0005,6.723,6.9354,6.982,1.0515,4.6385,9.4235,42.44,43.5,8.2073,23.0,61.0,0.264292,0.261793,0.090224,0.097973,0.531339
BR9,six_way,100,0.799544,0.80204,0.025421,0.706174,0.853037,0.0,0.0,0.0,0.0,0.0,6.309528,6.206168,1.397616,3.030299,9.389774,2.6504,2.7019,1.27,0.042,5.2556,2.9955,2.8864,1.5112,0.1022,7.1035,6.9394,6.8934,1.0783,4.5975,11.2316,42.86,42.5,8.3642,30.0,63.0,0.273013,0.257753,0.084139,0.107035,0.586387
BR9,C1_respect,100,0.799544,0.80204,0.025421,0.706174,0.853037,0.0,0.0,0.0,0.0,0.0,6.309528,6.206168,1.397616,3.030299,9.389774,2.6504,2.7019,1.27,0.042,5.2556,2.9955,2.8864,1.5112,0.1022,7.1035,6.9394,6.8934,1.0783,4.5975,11.2316,42.86,42.5,8.3642,30.0,63.0,0.266973,0.258424,0.083891,0.120783,0.562822
BR10,six_way,100,0.796469,0.799538,0.026266,0.714108,0.85064,0.0,0.0,0.0,0.0,0.0,6.457901,6.259034,1.580365,3.499336,11.64315,2.8234,2.734,1.441,0.0057,7.2564,3.0493,2.8453,1.5746,0.0205,8.3824,6.8239,6.6879,1.052,4.3101,9.2052,43.82,44.0,7.543,26.0,62.0,0.29307,0.278284,0.08636,0.141101,0.560177
BR10,C1_respect,100,0.796469,0.799538,0.026266,0.714108,0.85064,0.0,0.0,0.0,0.0,0.0,6.457901,6.259034,1.580365,3.499336,11.64315,2.8234,2.734,1.441,0.0057,7.2564,3.0493,2.8453,1.5746,0.0205,8.3824,6.8239,6.6879,1.052,4.3101,9.2052,43.82,44.0,7.543,26.0,62.0,0.298552,0.288378,0.087765,0.142942,0.52526
BR11,six_way,100,0.796828,0.800505,0.019909,0.749758,0.835408,0.0,0.0,0.0,0.0,0.0,6.565373,6.542682,1.367509,3.115907,12.386814,3.0262,3.1279,1.2628,0.0155,8.1395,2.9758,2.8262,1.3733,0.6497,7.0249,6.6519,6.4969,1.0388,4.5307,9.3194,43.49,43.0,6.4409,30.0,61.0,0.311359,0.29388,0.086925,0.123871,0.528344
BR11,C1_respect,100,0.796828,0.800505,0.019909,0.749758,0.835408,0.0,0.0,0.0,0.0,0.0,6.565373,6.542682,1.367509,3.115907,12.386814,3.0262,3.1279,1.2628,0.0155,8.1395,2.9758,2.8262,1.3733,0.6497,7.0249,6.6519,6.4969,1.0388,4.5307,9.3194,43.49,43.0,6.4409,30.0,61.0,0.311745,0.30184,0.081075,0.132578,0.503968
BR12,six_way,100,0.795586,0.796157,0.021021,0.734059,0.837863,0.0,0.0,0.0,0.0,0.0,6.560628,6.25353,1.530568,3.638054,12.968216,3.0565,2.9714,1.4534,0.0349,7.5044,2.9622,3.0548,1.3346,0.0156,7.1874,6.5724,6.4003,0.8829,4.7716,8.6486,44.51,44.0,6.7816,29.0,62.0,0.305926,0.298191,0.074066,0.186396,0.508643
BR12,C1_respect,100,0.795586,0.796157,0.021021,0.734059,0.837863,0.0,0.0,0.0,0.0,0.0,6.560628,6.25353,1.530568,3.638054,12.968216,3.0565,2.9714,1.4534,0.0349,7.5044,2.9622,3.0548,1.3346,0.0156,7.1874,6.5724,6.4003,0.8829,4.7716,8.6486,44.51,44.0,6.7816,29.0,62.0,0.303452,0.290558,0.07458,0.182026,0.484589
BR13,six_way,100,0.792741,0.795545,0.022559,0.694307,0.851894,0.0,0.0,0.0,0.0,0.0,6.499804,6.449504,1.700599,3.037339,11.796438,2.883,2.7977,1.4772,0.0855,6.2704,3.0778,2.898,1.4244,0.0447,7.3686,6.7485,6.5596,1.1493,4.481,9.3645,44.9,45.0,6.5064,28.0,63.0,0.3176,0.306793,0.07119,0.189353,0.56262
BR13,C1_respect,100,0.792741,0.795545,0.022559,0.694307,0.851894,0.0,0.0,0.0,0.0,0.0,6.499804,6.449504,1.700599,3.037339,11.796438,2.883,2.7977,1.4772,0.0855,6.2704,3.0778,2.898,1.4244,0.0447,7.3686,6.7485,6.5596,1.1493,4.481,9.3645,44.9,45.0,6.5064,28.0,63.0,0.314805,0.303331,0.072389,0.17922,0.558826
BR14,six_way,100,0.795509,0.794938,0.022949,0.716798,0.84384,0.0,0.0,0.0,0.0,0.0,6.182821,6.053323,1.273164,3.110465,9.32965,2.6979,2.6607,1.2294,0.024,6.0989,2.9214,2.8986,1.3331,0.0291,7.2005,6.5452,6.548,1.1433,4.2751,11.7227,44.36,44.0,5.7674,31.0,63.0,0.321999,0.310161,0.067256,0.195898,0.555076
BR14,C1_respect,100,0.795509,0.794938,0.022949,0.716798,0.84384,0.0,0.0,0.0,0.0,0.0,6.182821,6.053323,1.273164,3.110465,9.32965,2.6979,2.6607,1.2294,0.024,6.0989,2.9214,2.8986,1.3331,0.0291,7.2005,6.5452,6.548,1.1433,4.2751,11.7227,44.36,44.0,5.7674,31.0,63.0,0.328675,0.316943,0.072559,0.202087,0.616507
BR15,six_way,100,0.791606,0.793554,0.019351,0.723607,0.838737,0.0,0.0,0.0,0.0,0.0,6.465935,6.424511,1.464255,2.27552,11.817962,2.8587,2.8556,1.2337,0.0853,6.4097,3.3091,3.2627,1.6548,0.0563,8.8205,6.4761,6.4393,1.1052,3.8168,10.7984,45.08,45.0,5.7852,30.0,65.0,0.333986,0.331863,0.06143,0.220363,0.513538
BR15,C1_respect,100,0.791606,0.793554,0.019351,0.723607,0.838737,0.0,0.0,0.0,0.0,0.0,6.465935,6.424511,1.464255,2.27552,11.817962,2.8587,2.8556,1.2337,0.0853,6.4097,3.3091,3.2627,1.6548,0.0563,8.8205,6.4761,6.4393,1.1052,3.8168,10.7984,45.08,45.0,5.7852,30.0,65.0,0.340576,0.33494,0.065291,0.212916,0.536195
