br_class,mode,n,mean_Z1,median_Z1,std_Z1,min_Z1,max_Z1,mean_Z2,median_Z2,std_Z2,min_Z2,max_Z2,mean_Z3,median_Z3,std_Z3,min_Z3,max_Z3,mean_RDx,median_RDx,std_RDx,min_RDx,max_RDx,mean_RDy,median_RDy,std_RDy,min_RDy,max_RDy,mean_RDz,median_RDz,std_RDz,min_RDz,max_RDz,mean_unplaced,median_unplaced,std_unplaced,min_unplaced,max_unplaced,mean_time_sec,median_time_sec,std_time_sec,min_time_sec,max_time_sec
BR7,six_way,100,0.739267,0.745547,0.03669,0.649152,0.833411,0.0,0.0,0.0,0.0,0.0,11.743327,11.563437,3.133581,5.064678,19.405633,5.1683,5.0692,2.8459,0.2388,11.7401,6.6576,6.6733,2.221,0.8413,11.557,11.1394,11.0688,1.9781,6.2687,15.9725,25.5,25.0,6.9957,10.0,46.0,0.349782,0.322527,0.158418,0.102882,0.793355
BR7,C1_respect,100,0.718263,0.720905,0.037264,0.58684,0.809576,0.0,0.0,0.0,0.0,0.0,13.107362,13.008385,3.353612,6.928126,22.275659,6.4906,6.2227,3.2603,0.9463,16.3347,7.0201,7.1158,2.5141,0.3361,14.5956,10.9353,10.9067,2.0527,4.5234,16.8841,28.47,28.0,6.469,12.0,44.0,0.258069,0.239395,0.109685,0.092745,0.634605
BR8,six_way,100,0.723012,0.728741,0.035927,0.567413,0.792908,0.0,0.0,0.0,0.0,0.0,11.003265,10.6142,2.409009,6.198407,19.494297,4.5814,4.4267,2.118,0.1311,10.5279,6.0325,6.0078,2.1427,1.6321,12.4154,11.3543,11.0482,1.9776,7.3219,17.9487,27.39,27.0,6.8562,13.0,53.0,0.367803,0.357584,0.137606,0.118368,0.756574
BR8,C1_respect,100,0.70497,0.707753,0.038919,0.566548,0.774449,0.0,0.0,0.0,0.0,0.0,11.932839,10.99359,4.156423,6.005478,30.78359,5.2283,4.9595,3.7576,0.2813,22.3211,6.8217,6.4962,2.5031,0.069,13.1177,11.3216,10.9723,1.8344,7.6216,16.9906,30.03,30.0,6.274,16.0,52.0,0.275805,0.262479,0.092519,0.107787,0.60431
BR9,six_way,100,0.721986,0.721607,0.029609,0.641109,0.799352,0.0,0.0,0.0,0.0,0.0,10.417897,10.130627,2.615716,5.538722,19.705574,4.1639,3.8403,2.3128,0.4223,11.0858,5.5999,5.6234,2.4262,0.0727,12.6406,11.3336,11.5339,1.5527,8.3545,15.6263,27.38,26.5,6.239,13.0,43.0,0.365924,0.337231,0.122171,0.150516,0.797396
BR9,C1_respect,100,0.701167,0.703763,0.034198,0.603857,0.776362,0.0,0.0,0.0,0.0,0.0,11.662079,11.393286,3.099628,5.902611,19.782284,5.0051,4.698,2.5747,0.2059,10.9183,6.7637,6.6221,2.7119,0.3899,12.8615,11.2424,11.068,1.6967,5.879,15.2776,30.32,30.0,5.8756,15.0,43.0,0.279695,0.260801,0.081642,0.104861,0.532506
BR10,six_way,100,0.718159,0.721449,0.029671,0.639071,0.788383,0.0,0.0,0.0,0.0,0.0,10.043189,9.667222,2.452235,6.232279,16.985401,3.9525,3.6436,2.1652,0.1016,9.5906,5.4507,5.4742,2.024,0.3061,10.7786,11.0357,11.1339,1.6529,7.9727,17.7718,28.73,29.0,5.532,17.0,42.0,0.380735,0.361399,0.114415,0.165507,0.719526
BR10,C1_respect,100,0.694809,0.698878,0.0329,0.626715,0.783017,0.0,0.0,0.0,0.0,0.0,11.117001,10.634576,3.082091,5.646161,20.635801,4.5685,4.3581,2.6605,0.0362,12.8057,6.3227,6.3114,2.6658,0.1036,13.568,11.3916,11.0327,1.8972,7.9254,16.086,31.2,30.0,5.7612,19.0,48.0,0.292478,0.274399,0.076324,0.163947,0.544409
BR11,six_way,100,0.710043,0.71247,0.026471,0.642083,0.767965,0.0,0.0,0.0,0.0,0.0,10.548397,10.391002,2.411467,5.93222,18.45285,4.2998,4.0686,2.2737,0.0897,13.5685,5.6078,5.4928,2.1964,0.8399,12.9241,11.3175,11.2836,1.5162,8.3097,15.4062,28.79,29.0,5.2518,16.0,45.0,0.399184,0.370708,0.115153,0.182053,0.703367
BR11,C1_respect,100,0.686543,0.691026,0.029979,0.597933,0.746692,0.0,0.0,0.0,0.0,0.0,11.473491,11.286911,2.699966,5.897834,19.32157,4.5583,4.2395,2.5145,0.1475,13.3775,7.1037,7.2095,2.4389,0.8737,13.1267,11.5641,11.5678,1.4211,8.0696,15.5231,32.12,31.5,6.2994,21.0,54.0,0.310704,0.297053,0.081061,0.141407,0.511347
BR12,six_way,100,0.712655,0.713444,0.026696,0.643774,0.763025,0.0,0.0,0.0,0.0,0.0,10.3069,10.170091,2.334454,5.771052,16.875044,4.2416,4.0536,2.0456,0.1173,11.0523,5.4483,5.3661,1.9288,0.3203,10.3407,10.9835,10.8802,1.3528,7.9624,14.6483,28.69,29.0,5.268,16.0,45.0,0.427433,0.427838,0.113652,0.223848,0.773462
BR12,C1_respect,100,0.682594,0.684389,0.030341,0.580749,0.744636,0.0,0.0,0.0,0.0,0.0,11.042051,10.510127,2.507148,6.429718,18.504812,4.3209,4.1522,2.4778,0.1389,13.4578,6.5304,6.6454,2.5267,0.8218,11.4125,11.6302,11.8864,1.6228,7.5885,15.5649,32.23,32.0,6.0717,19.0,55.0,0.336161,0.320547,0.089419,0.171631,0.610083
BR13,six_way,100,0.705715,0.701845,0.028846,0.606341,0.776669,0.0,0.0,0.0,0.0,0.0,9.891319,9.754232,2.400509,4.753154,16.384979,3.7545,3.8102,2.2111,0.0591,11.541,5.4677,5.6921,2.4562,0.0258,12.0099,11.1337,11.151,1.404,7.4024,15.3411,29.49,29.0,5.3343,17.0,42.0,0.448706,0.434214,0.13125,0.256471,1.020518
BR13,C1_respect,100,0.678698,0.679465,0.028319,0.580862,0.732318,0.0,0.0,0.0,0.0,0.0,11.066315,10.771641,2.519224,5.56435,18.868476,4.3062,4.1919,2.2025,0.0469,10.7513,6.8055,6.7876,2.3565,0.7338,12.8194,11.4444,11.4374,1.592,7.8453,15.2476,32.74,32.0,5.0605,23.0,48.0,0.338142,0.328954,0.080621,0.19818,0.554297
BR14,six_way,100,0.708436,0.709827,0.028296,0.632564,0.775382,0.0,0.0,0.0,0.0,0.0,9.683287,9.476313,2.209434,5.581833,16.880395,3.6281,3.4627,1.8615,0.0399,8.7996,5.1227,5.22,2.0184,0.3133,9.5851,11.2701,11.2769,1.6416,7.0979,15.9507,28.8,29.0,4.5947,20.0,45.0,0.448504,0.417385,0.106336,0.274976,0.79581
BR14,C1_respect,100,0.67009,0.668457,0.032872,0.582077,0.738572,0.0,0.0,0.0,0.0,0.0,11.254034,11.231602,2.438367,6.548207,18.023415,4.2756,3.9978,2.2433,0.3328,10.9021,6.9996,6.9097,2.3298,0.3596,13.385,11.8328,11.5579,1.7111,7.9961,17.5339,33.47,33.0,5.5513,23.0,55.0,0.35106,0.331532,0.07772,0.211149,0.537351
BR15,six_way,100,0.697176,0.696746,0.022162,0.64798,0.760138,0.0,0.0,0.0,0.0,0.0,10.412374,10.578235,2.272744,5.873918,16.17237,4.1061,4.15,2.0738,0.2243,9.4438,5.5377,5.5555,2.1609,0.656,11.2187,11.5392,11.4948,1.3725,8.0607,15.2862,29.42,29.0,4.6432,20.0,43.0,0.452603,0.43103,0.098665,0.292289,0.747837
BR15,C1_respect,100,0.667463,0.670718,0.030678,0.579552,0.735648,0.0,0.0,0.0,0.0,0.0,11.443535,11.133914,2.922101,4.838457,19.73539,4.477,4.053,2.2681,0.2861,10.0282,6.9441,6.8983,2.5446,1.3002,14.6645,11.869,11.7971,1.6122,8.4711,16.1761,33.7,33.5,5.1316,24.0,50.0,0.366759,0.346368,0.084071,0.218552,0.610617
