br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,29,0.717435,28.0,15.5,7.3005,0.4292,22.2727,273.0,116.0,85.5,21.5,0.5,24.5,72,28,0.03002,2025-12-25T16:23:15.254293Z,20251225_162315.254293_seed0_six_way
BR0,six_way,30,0.776543,61.0,10.333333,2.2071,9.0129,12.7273,288.0,106.0,96.0,6.5,10.5,14.0,216,61,0.311556,2025-12-25T16:23:15.577642Z,20251225_162315.577642_seed0_six_way
BR0,six_way,31,0.687087,43.0,16.166667,4.9236,18.8841,10.9091,280.0,94.5,98.0,14.5,22.0,12.0,96,43,0.055136,2025-12-25T16:23:15.654596Z,20251225_162315.654596_seed0_six_way
BR0,six_way,32,0.946975,4.0,4.0,3.2258,2.1459,0.0,285.0,114.0,110.0,9.5,2.5,0.0,90,4,0.022907,2025-12-25T16:23:15.689101Z,20251225_162315.689101_seed0_six_way
BR0,six_way,33,0.871379,125.0,6.051724,1.5222,7.5329,4.4514,290.0172,107.7241,105.1034,4.4828,8.7759,4.8966,870,125,8.312339,2025-12-25T16:23:24.014194Z,20251225_162324.014194_seed0_six_way
BR0,six_way,34,0.874759,57.0,5.459854,1.1823,9.3168,1.858,291.0182,105.646,107.9562,3.4818,10.854,2.0438,411,57,1.292185,2025-12-25T16:23:25.326233Z,20251225_162325.326233_seed0_six_way
BR0,six_way,35,0.938559,17.0,4.850782,4.0091,0.9637,1.4752,282.6931,115.3773,108.3773,11.8069,1.1227,1.6227,277,17,0.528659,2025-12-25T16:23:25.868456Z,20251225_162325.868456_seed0_six_way
BR0,six_way,36,0.867498,93.0,6.981481,2.5467,5.7701,6.1111,287.0,109.7778,103.2778,7.5,6.7222,6.7222,630,93,4.208594,2025-12-25T16:23:30.089920Z,20251225_162330.089920_seed0_six_way
BR0,six_way,37,0.938318,5.0,2.5,0.1698,6.0086,0.0,294.0,109.5,110.0,0.5,7.0,0.0,90,5,0.020067,2025-12-25T16:23:30.125182Z,20251225_162330.125182_seed0_six_way
BR0,six_way,38,0.712344,17.0,13.575758,2.9171,18.533,9.5868,285.9091,94.9091,99.4545,8.5909,21.5909,10.5455,44,17,0.008435,2025-12-25T16:23:30.145039Z,20251225_162330.145039_seed0_six_way
BR0,six_way,39,0.757699,32.0,12.22549,3.5554,5.024,18.5027,284.0294,110.6471,89.6471,10.4706,5.8529,20.3529,102,32,0.056043,2025-12-25T16:23:30.212756Z,20251225_162330.212756_seed0_six_way
BR0,six_way,40,0.833296,12.0,6.693548,0.5532,1.0245,15.6891,292.871,115.3065,92.7419,1.629,1.1935,17.2581,62,12,0.019673,2025-12-25T16:23:30.249949Z,20251225_162330.249949_seed0_six_way
BR0,six_way,41,0.785582,10.0,14.5,7.4703,6.867,12.2727,272.5,108.5,96.5,22.0,8.0,13.5,40,10,0.008073,2025-12-25T16:23:30.270524Z,20251225_162330.270524_seed0_six_way
BR0,six_way,42,0.838231,17.0,8.711111,3.09,4.5494,10.6667,285.4,111.2,98.2667,9.1,5.3,11.7333,90,17,0.040122,2025-12-25T16:23:30.330375Z,20251225_162330.330375_seed0_six_way
BR0,six_way,43,0.863886,8.0,8.416667,2.5467,6.5451,9.2045,287.0,108.875,99.875,7.5,7.625,10.125,56,8,0.016113,2025-12-25T16:23:30.357788Z,20251225_162330.357788_seed0_six_way
BR0,six_way,44,0.853807,22.0,7.62963,3.2258,2.9566,9.0404,285.0,113.0556,100.0556,9.5,3.4444,9.9444,135,22,0.082479,2025-12-25T16:23:30.451002Z,20251225_162330.451002_seed0_six_way
BR0,six_way,45,0.896544,28.0,6.333333,3.7351,5.5794,1.3636,283.5,110.0,108.5,11.0,6.5,1.5,252,28,0.386794,2025-12-25T16:23:30.849966Z,20251225_162330.849966_seed0_six_way
BR0,six_way,46,0.939706,9.0,5.063291,3.7588,1.5809,2.0713,283.4304,114.6582,107.7215,11.0696,1.8418,2.2785,158,9,0.12523,2025-12-25T16:23:30.986891Z,20251225_162330.986891_seed0_six_way
BR0,six_way,47,0.833219,18.0,11.255319,5.1981,9.8712,6.325,279.1915,105.0,103.0426,15.3085,11.5,6.9574,94,18,0.042791,2025-12-25T16:23:31.042502Z,20251225_162331.042502_seed0_six_way
BR0,six_way,48,0.73079,57.0,11.018868,0.5574,14.8271,12.8559,292.8585,99.2264,95.8585,1.6415,17.2736,14.1415,159,57,0.182966,2025-12-25T16:23:31.256644Z,20251225_162331.256644_seed0_six_way
BR0,six_way,49,0.703113,40.0,16.666667,7.3005,7.2961,18.1818,273.0,108.0,90.0,21.5,8.5,20.0,96,40,0.051713,2025-12-25T16:23:31.332282Z,20251225_162331.332282_seed0_six_way
BR0,six_way,50,0.854686,55.0,6.845238,2.1647,0.5518,12.289,288.125,115.8571,96.4821,6.375,0.6429,13.5179,336,55,0.960959,2025-12-25T16:23:32.304671Z,20251225_162332.304671_seed0_six_way
BR0,six_way,51,0.891468,20.0,8.429379,5.4876,4.1973,3.8521,278.339,111.6102,105.7627,16.161,4.8898,4.2373,177,20,0.184516,2025-12-25T16:23:32.503288Z,20251225_162332.503288_seed0_six_way
BR0,six_way,52,0.894215,14.0,5.5,2.2071,7.2961,1.3636,288.0,108.0,108.5,6.5,8.5,1.5,126,14,0.06631,2025-12-25T16:23:32.590602Z,20251225_162332.590602_seed0_six_way
BR0,six_way,53,0.91879,30.0,4.544944,1.7398,5.2997,2.1246,289.3764,110.3258,107.6629,5.1236,6.1742,2.3371,356,30,0.916509,2025-12-25T16:23:33.527866Z,20251225_162333.527866_seed0_six_way
BR0,six_way,54,0.90259,18.0,4.869318,1.3119,3.4457,6.1183,290.6364,112.4858,103.2699,3.8636,4.0142,6.7301,176,18,0.162787,2025-12-25T16:23:33.720712Z,20251225_162333.720712_seed0_six_way
BR0,six_way,55,0.80201,22.0,9.782609,2.1776,8.565,11.7787,288.087,106.5217,97.0435,6.413,9.9783,12.9565,92,22,0.041178,2025-12-25T16:23:33.774424Z,20251225_162333.774424_seed0_six_way
BR0,six_way,56,0.806145,45.0,8.486254,1.2007,11.8446,7.3852,290.9639,102.701,101.8763,3.5361,13.799,8.1237,194,45,0.236936,2025-12-25T16:23:34.023668Z,20251225_162334.023668_seed0_six_way
BR0,six_way,57,0.83851,19.0,7.77451,1.7677,6.7155,9.3583,289.2941,108.6765,99.7059,5.2059,7.8235,10.2941,102,19,0.052671,2025-12-25T16:23:34.089273Z,20251225_162334.089273_seed0_six_way
BR0,six_way,58,0.699732,22.0,15.388889,3.6848,12.4146,18.9562,283.6481,102.037,89.1481,10.8519,14.463,20.8519,54,22,0.014697,2025-12-25T16:23:34.115507Z,20251225_162334.115507_seed0_six_way
BR0,six_way,59,0.746625,41.0,9.924731,0.0822,9.8989,16.3636,294.2581,104.9677,92.0,0.2419,11.5323,18.0,124,41,0.105313,2025-12-25T16:23:34.232322Z,20251225_162334.232322_seed0_six_way
BR0,six_way,60,0.679676,29.0,17.666667,7.3005,7.2961,20.9091,273.0,108.0,87.0,21.5,8.5,23.0,63,29,0.02454,2025-12-25T16:23:34.269982Z,20251225_162334.269982_seed0_six_way
BR0,six_way,61,0.707024,18.0,16.833333,7.4703,12.4464,12.7273,272.5,102.0,96.0,22.0,14.5,14.0,45,18,0.010653,2025-12-25T16:23:34.292639Z,20251225_162334.292639_seed0_six_way
BR0,six_way,62,0.70111,40.0,15.5,4.9236,18.8841,9.0909,280.0,94.5,100.0,14.5,22.0,10.0,96,40,0.055415,2025-12-25T16:23:34.359428Z,20251225_162334.359428_seed0_six_way
BR0,six_way,63,0.767231,18.0,10.5,2.5467,2.1459,19.5455,287.0,114.0,88.5,7.5,2.5,21.5,63,18,0.023586,2025-12-25T16:23:34.405628Z,20251225_162334.405628_seed0_six_way
BR0,six_way,64,0.897134,24.0,6.0,3.2258,7.2961,0.0,285.0,108.0,110.0,9.5,8.5,0.0,220,24,0.127829,2025-12-25T16:23:34.545609Z,20251225_162334.545609_seed0_six_way
BR0,six_way,65,0.89043,44.0,5.964539,2.46,3.4791,5.9961,287.2553,112.4468,103.4043,7.2447,4.0532,6.5957,376,44,1.126203,2025-12-25T16:23:35.683784Z,20251225_162335.683784_seed0_six_way
BR0,six_way,66,0.804988,46.0,10.637457,4.4283,4.1016,12.8116,281.4588,111.7216,95.9072,13.0412,4.7784,14.0928,194,46,0.230496,2025-12-25T16:23:35.928315Z,20251225_162335.928315_seed0_six_way
BR0,six_way,67,0.712326,46.0,16.252874,6.1179,11.9358,15.3056,276.4828,102.5948,93.1638,18.0172,13.9052,16.8362,116,46,0.082257,2025-12-25T16:23:36.036448Z,20251225_162336.036448_seed0_six_way
BR0,six_way,68,0.916021,25.0,4.147766,1.164,5.8626,1.9869,291.0722,109.6701,107.8144,3.4278,6.8299,2.1856,291,25,0.678308,2025-12-25T16:23:36.745540Z,20251225_162336.745540_seed0_six_way
